0,213
1,392
4,376
9,411
16,410
25,374
36,415
49,397
64,400
81,369
100,393
121,414
144,412
169,413
196,391
225,384
256,419
289,410
324,391
361,404
400,399
441,389
484,382
529,446
576,389
625,412
676,372
729,199
784,207
841,204
900,190
961,201
1024,198
1089,166
1156,203
1225,216
1296,190
1369,196
1444,197
1521,204
1600,196
1681,190
1764,203
1849,192
1936,220
2025,203
2116,212
2209,204
2304,208
2401,198
2500,190
2601,215
2704,192
2809,208
2916,208
3025,201
3136,207
3249,193
3364,193
3481,184
3600,204
3721,233
3844,184
3969,216
4096,212
4225,181
4356,203
4489,220
4624,192
4761,221
4900,180
5041,200
5184,177
5329,211
