282,1
283,2
284,1
287,3
289,1
290,1
292,5
293,2
294,2
295,8
296,3
297,3
298,5
299,4
300,7
301,3
302,9
303,13
304,8
305,7
306,8
307,13
308,9
309,19
310,19
311,27
312,30
313,26
314,30
315,30
316,23
317,39
318,37
319,51
320,54
321,52
322,52
323,69
324,79
325,81
326,95
327,89
328,84
329,121
330,115
331,108
332,127
333,124
334,134
335,120
336,164
337,166
338,149
339,175
340,203
341,195
342,191
343,208
344,209
345,214
346,222
347,237
348,277
349,262
350,274
351,282
352,292
353,284
354,318
355,311
356,316
357,329
358,344
359,352
360,383
361,307
362,343
363,360
364,363
365,384
366,341
367,317
368,358
369,391
370,353
371,331
372,317
373,370
374,354
375,332
376,314
377,297
378,288
379,306
380,286
381,294
382,264
383,250
384,245
385,249
386,272
387,228
388,233
389,211
390,176
391,167
392,194
393,172
394,186
395,157
396,128
397,130
398,127
399,112
400,114
401,96
402,87
403,98
404,64
405,65
406,59
407,74
408,66
409,46
410,42
411,30
412,38
413,36
414,37
415,26
416,25
417,18
418,13
419,28
420,10
421,12
422,23
423,8
424,9
425,8
426,9
427,4
428,5
429,2
430,5
431,2
432,2
433,2
434,3
435,4
436,4
438,1
439,1
440,3
445,1
446,1
449,1
