131,1
134,1
143,1
151,2
152,3
155,5
157,4
158,2
159,4
160,3
162,9
163,6
164,3
165,5
166,9
167,4
168,3
169,11
170,9
171,15
172,7
173,14
174,10
175,13
176,11
177,18
178,19
179,28
180,24
181,30
182,31
183,19
184,39
185,33
186,33
187,42
188,40
189,42
190,68
191,51
192,65
193,76
194,69
195,63
196,73
197,93
198,95
199,91
200,93
201,111
202,127
203,133
204,141
205,137
206,158
207,165
208,180
209,154
210,185
211,177
212,192
213,194
214,206
215,194
216,228
217,225
218,245
219,279
220,253
221,282
222,247
223,283
224,281
225,298
226,285
227,301
228,286
229,325
230,309
231,337
232,334
233,356
234,320
235,362
236,362
237,320
238,340
239,344
240,323
241,347
242,316
243,326
244,303
245,346
246,301
247,320
248,294
249,308
250,302
251,288
252,278
253,256
254,237
255,268
256,270
257,241
258,252
259,226
260,198
261,193
262,183
263,196
264,195
265,138
266,155
267,164
268,134
269,121
270,122
271,109
272,94
273,102
274,108
275,92
276,76
277,86
278,73
279,69
280,69
281,56
282,41
283,39
284,24
285,27
286,34
287,31
288,34
289,16
290,18
291,13
292,15
293,16
294,12
295,15
296,12
297,8
298,4
299,5
300,5
301,5
302,7
303,6
304,4
305,2
306,3
307,5
308,4
309,1
310,2
311,3
312,1
314,1
315,1
316,1
317,1
319,1
326,1
